region_code,region_name,subregion_name,country_code,country_name
NA,北美区,,US,美国
NA,北美区,,CA,加拿大
NA,北美区,,MX,墨西哥
EU,欧洲区,西欧,GB,英国
EU,欧洲区,西欧,DE,德国
EU,欧洲区,西欧,FR,法国
EU,欧洲区,西欧,IT,意大利
EU,欧洲区,西欧,ES,西班牙
EU,欧洲区,北欧,SE,瑞典
EU,欧洲区,北欧,NO,挪威
EU,欧洲区,北欧,FI,芬兰
EU,欧洲区,北欧,DK,丹麦
EU,欧洲区,东欧,PL,波兰
EU,欧洲区,东欧,CZ,捷克
EU,欧洲区,东欧,HU,匈牙利
APAC,亚太区,东亚,CN,中国
APAC,亚太区,东亚,JP,日本
APAC,亚太区,东亚,KR,韩国
APAC,亚太区,东南亚,SG,新加坡
APAC,亚太区,东南亚,MY,马来西亚
APAC,亚太区,东南亚,TH,泰国
APAC,亚太区,东南亚,VN,越南
APAC,亚太区,东南亚,PH,菲律宾
APAC,亚太区,东南亚,ID,印尼
APAC,亚太区,大洋洲,AU,澳大利亚
APAC,亚太区,大洋洲,NZ,新西兰
LATAM,拉美区,,BR,巴西
LATAM,拉美区,,CL,智利
LATAM,拉美区,,CO,哥伦比亚
MENA,中东及非洲区,,AE,阿联酋
MENA,中东及非洲区,,SA,沙特
MENA,中东及非洲区,,ZA,南非
MENA,中东及非洲区,,NG,尼日利亚
SA,南亚区,,IN,印度
SA,南亚区,,PK,巴基斯坦
SA,南亚区,,BD,孟加拉国
