scene_code,scene_name,category_code,category_name
0,未分类,0001,未分类
1,居家,1001,吊灯
1,居家,1002,吸顶灯
1,居家,1003,风扇灯
1,居家,1004,球泡
1,居家,1005,筒灯
1,居家,1006,落地灯
1,居家,1007,床头灯
1,居家,1008,星空灯
1,居家,1009,其他
1,居家,1010,灯带
1,居家,1011,新形态灯带
1,居家,1012,传感器&盒子
1,居家,1013,室内壁灯
2,观影,2001,灯柱
2,观影,2002,摄像头取色系列
2,观影,2003,TV灯带
2,观影,2004,HDMI盒子系列
3,户外,3001,球泡灯串
3,户外,3002,户外灯带
3,户外,3003,射灯
3,户外,3004,泛光灯
3,户外,3005,庭院灯
3,户外,3006,路径灯
3,户外,3007,路灯
3,户外,3008,壁灯
3,户外,3009,户外投影灯
3,户外,3010,植物灯
3,户外,3011,屋檐灯
3,户外,3012,礼盒
3,户外,3013,车灯
3,户外,3014,传感器&盒子
5,传感器及控制,5001,空气质量检测仪
5,传感器及控制,5002,智能按键
5,传感器及控制,5003,门窗传感器
5,传感器及控制,5004,红外人体传感器
5,传感器及控制,5005,人体存在传感器
5,传感器及控制,5006,压力传感器
5,传感器及控制,5007,温湿度计
5,传感器及控制,5008,漏水报警器
5,传感器及控制,5009,智能插座
5,传感器及控制,5010,烤肉温度计
5,传感器及控制,5011,网关
5,传感器及控制,5012,二氧化碳检测仪
5,传感器及控制,5013,浇水控制器
6,季节,6001,窗帘灯
6,季节,6002,贴片灯串
6,季节,6003,插件灯串
6,季节,6004,树衣灯
6,季节,6005,瀑布灯
6,季节,6006,冰帘灯
6,季节,6007,圣诞树灯
6,季节,6008,草莓灯
6,季节,6009,造型灯
6,季节,6010,灌木丛灯
6,季节,6011,礼盒
6,季节,6012,流星雨灯
7,环境电器,7001,塔扇
7,环境电器,7002,台扇
7,环境电器,7003,空净
7,环境电器,7004,暖风机
7,环境电器,7005,加湿器
7,环境电器,7006,除湿机
7,环境电器,7007,香薰机
7,环境电器,7008,环电配件
8,厨房电器,8001,冰食料理机
8,厨房电器,8002,制冰机
8,厨房电器,8003,冰淇淋机
8,厨房电器,8004,厨余垃圾处理机
8,厨房电器,8005,电水壶
8,厨房电器,8006,电饭煲
8,厨房电器,8007,厨电配件
9,游戏,9001,方块灯
9,游戏,9002,条状灯
9,游戏,9003,像素灯
9,游戏,9005,室内激光灯
9,游戏,9006,HDMI盒子系列
9,游戏,9007,游戏灯带
9,游戏,9008,灯柱
9,游戏,9009,新潮灯具
